@relation "myrelation"
@attribute feat string
@attribute lemma string
@attribute link string
@attribute sms string
@attribute classatr {positive,negative,neutral}
@data
'S ЕД ЖЕН РОД НЕОД', 'ШУТКА', '1-компл', 'шутки', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ПОЙТИ', 'fictit', 'пошла', positive
'V НЕСОВ ИНФ', 'СПРАШИВАТЬ', 'обст', 'спрашивать', positive
'S ЕД МУЖ ВИН ОД', 'ПЕКАРЬ', '1-компл', 'пекаря', positive
'S ЕД МУЖ ВИН ОД', 'D', 'аппоз', 'D', positive
'S', '#ЭСТОНКА', 'аппоз', '#Эстонка', positive
'NID', 'ЧИГД', 'fictit', 'чигд', positive
'S ЕД МУЖ РОД НЕОД', 'РУБЛЬ', 'атриб', 'р', positive
'NID', 'АНХ', 'квазиагент', 'анх', positive
'NID', 'УДААГАА', 'аппоз', 'удаагаа', positive
'S ЕД МУЖ РОД ОД', 'Х', 'атриб', 'х', positive
'S ЕД МУЖ РОД НЕОД', 'ЛИТР', 'атриб', 'л', positive
'PART', 'БЫ', '', 'б', positive
'NID', 'МБ', 'fictit', 'мб', positive
'S ЕД МУЖ РОД НЕОД', 'ГРАММ', 'атриб', 'г', positive
'NID', 'ЗЭВ', 'квазиагент', 'зэв', positive
'NID', 'ДАЖГ', 'аппоз', 'Дажг', positive
'NID', 'Й', 'аппоз', 'й', positive
'S ЕД МУЖ РОД ОД', 'Ш', 'атриб', 'ш', positive
'NID', 'BAYERN', 'fictit', 'bayern', positive
'NID', 'ГЭДЭГ', 'аппоз', 'гэдэг', positive
'S ЕД МУЖ ИМ НЕОД', 'БАГ', 'fictit', 'баг', positive
'NID', 'ХОЖИЖ', 'квазиагент', 'хожиж', positive
'NID', 'БАЙЛЭЭ', 'аппоз', 'байлээ', positive
'S', '@133219333121', 'аппоз', '@133219333121', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', positive
'PART', 'ТОЖЕ', 'огранич', 'тоже', positive
'PR', 'В', '1-компл', 'в', positive
'S ЕД МУЖ ВИН ОД', 'ТЫ', 'предл', 'тебя', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ВЕРИТЬ', 'fictit', 'верю', positive
'PART', 'ВСЕ', 'огранич', 'всё', positive
'PR', 'У', '2-компл', 'у', positive
'S ЕД МУЖ РОД ОД', 'ТЫ', 'предл', 'тебя', positive
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ПОЛУЧАТЬСЯ', 'fictit', 'получится', positive
'S', '@136TH', 'fictit', '@136th', positive
'S ЕД МУЖ ДАТ ОД', 'Я', 'fictit', 'мне', positive
'ADV', 'ОДНАЖДЫ', 'fictit', 'однажды', positive
'S ЕД ЖЕН ВИН НЕОД', 'МАШИНА', 'fictit', 'машину', positive
'V СОВ ИЗЪЯВ ПРОШ МН', 'ЗАПИРАТЬ', 'fictit', 'заперли', positive
'CONJ', 'А', 'сент-соч', 'а', positive
'PR', 'ПОД', 'обст', 'под', positive
'S ЕД СРЕД ТВОР НЕОД', 'СТЕКЛО', 'предл', 'стеклом', positive
'PR', 'ВМЕСТО', 'атриб', 'вместо', positive
'S ЕД МУЖ РОД НЕОД', 'ТЕЛЕФОН', 'предл', 'телефона', positive
'NID', 'QR', 'квазиагент', 'QR', positive
'S ЕД МУЖ ВИН НЕОД', 'КОД', '1-компл', 'код', positive
'S', 'Я', 'предик', 'Я', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'СКАНИРОВАТЬ', 'соч-союзн', 'сканировал', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ЗВОНИТЬ', 'сочин', 'позвонил', positive
'CONJ', 'И', 'сочин', 'и', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ПРОСИТЬ', 'вводн', 'попросил', positive
'V СОВ ИНФ', 'УБИРАТЬ', '2-компл', 'убрать', positive
'PART', 'ВОТ', 'огранич', 'Вот', positive
'S ЕД СРЕД ИМ НЕОД', 'ЭТО', 'предик', 'это', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'БЫТЬ', 'соч-союзн', 'было', positive
'A КР ЕД СРЕД', 'МОДНЫЙ', 'присвяз', 'модно', positive
'S', '@1808MEOW', 'предик', '@1808meow', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'МОЧЬ', 'fictit', 'может', positive
'V НЕСОВ ИНФ', 'БЫТЬ', '1-компл', 'быть', positive
'S', 'П', 'предик', 'П', positive
'A ЕД СРЕД ВИН', 'ЭТОТ', 'опред', 'это', positive
'S ЕД СРЕД ВИН НЕОД', 'СООБЩЕНИЕ', '1-компл', 'сообщение', positive
'PR', 'В', '2-несобст-компл', 'в', positive
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ПОЧИТАТЬ', 'fictit', 'почту', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'ПРИХОДИТЬ', 'fictit', 'пришло', positive
'CONJ', 'А', 'сочин', 'а', positive
'PR', 'В', '1-компл', 'в', positive
'NID', 'ТАИТТЕР', 'предл', 'таиттер', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'НЕТ', 'соч-союзн', 'нет', positive
'S', '@1ALIYA', 'предик', '@1Aliya', positive
'S ЕД МУЖ ДАТ ОД', 'Я', 'неакт-компл', 'мне', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'МЫТЬ', 'fictit', 'мыло', positive
'PR', 'В', 'обст', 'в', positive
'S ЕД МУЖ ВИН НЕОД', 'ГЛАЗ', 'предл', 'глаз', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'ПОПАДАТЬ', 'fictit', 'попало', positive
'NID', 'D', 'квазиагент', 'D', positive
'S', '@1DBRITISHDREAM', 'огранич', '@1DBritishdream', positive
'A КР ЕД СРЕД', 'КОНЕЧНЫЙ', '', 'конечно', positive
'A ЕД СРЕД ИМ', 'ЭТОТ', 'разъяснит', 'это', positive
'CONJ', 'КАК', 'сравнит', 'как', positive
'V НЕСОВ ИНФ', 'ЧИТАТЬ', 'сравн-союзн', 'читать', positive
'A ЕД ЖЕН ВИН', 'КАКОЙ-ТО', 'опред', 'какую-то', positive
'S ЕД ЖЕН ВИН НЕОД', 'КНИГА', '1-компл', 'книгу', positive
'S МН МУЖ ПР НЕОД', 'АХИ', 'сравн-союзн', 'ахах', positive
'A КР ЕД СРЕД', 'ИНТЕРЕСНЫЙ', 'fictit', 'интересно', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'ПИСАТЬ', 'предик', 'пишешь', positive
'A ЕД СРЕД ВИН', 'СВОЙ', '1-компл', 'свое', positive
'ADV СРАВ', 'ДАЛЕКО', 'обст', 'дальше', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'ЧИТАТЬ', 'предик', 'читаешь', positive
'S', '@1LESHA1', '1-компл', '@1lesha1', positive
'PART', 'ВОТ', 'огранич', 'вот', positive
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'предик', 'ты', positive
'NID', 'ВАЩЩЕ', 'аппоз', 'ващще', positive
'NID', 'D', 'предик', 'D', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'разъяснит', 'я', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ЕХАТЬ', 'разъяснит', 'еду', positive
'PR', 'ПО', '4-компл', 'по', positive
'S ЕД МУЖ ДАТ ОД', 'РОСТОВ', 'предл', 'Ростову', positive
'PR', 'НА', '2-компл', 'на', positive
'S ЕД ЖЕН ВИН НЕОД', 'КВАРТИРА', 'предл', 'квартиру', positive
'PR', 'НА', 'атриб', 'На', positive
'S ЕД ЖЕН ВИН НЕОД', 'РАБОТА', 'предл', 'работу', positive
'PART', 'АЖ', 'огранич', 'аж', positive
'PR', 'К', 'атриб', 'к', positive
'NUM', '16', 'количест', '16', positive
'S', '@1LESHA1', 'предл', '@1lesha1', positive
'ADV', 'ТАК', 'обст', 'так', positive
'S ЕД МУЖ ИМ ОД', 'ОН', 'предик', 'он', positive
'PART', 'ТО', 'огранич', 'то', positive
'CONJ', 'И', 'сочин', 'и', positive
'PART', 'НЕ', 'огранич', 'не', positive
'S ЕД МУЖ ИМ ОД', 'МУЖИК', 'соч-союзн', 'мужик', positive
'ADV', 'ТАК', 'обст', 'Так', positive
'A ЕД МУЖ ИМ', 'ГЛАМУРНЫЙ', 'опред', 'Гламурный', positive
'S ЕД МУЖ ИМ ОД', 'ПЕДИК', 'разъяснит', 'педик', positive
'S', '@1LESHA1', 'предик', '@1lesha1', positive
'S ЕД МУЖ ДАТ ОД', 'ТЫ', '1-компл', 'тебе', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'НРАВИТЬСЯ', 'fictit', 'нравятся', positive
'V НЕСОВ ПРИЧ НЕПРОШ МН ВИН НЕОД', 'ОБТЯГИВАТЬ', 'fictit', 'обтягивающие', positive
'A МН ВИН НЕОД', 'БЕЛЫЙ', 'опред', 'белые', positive
'S МН ЖЕН ВИН НЕОД', 'БРЮКИ', '1-компл', 'брюки', positive
'S', '@22_MANTLE', 'fictit', '@22_mantle', positive
'PART', 'НУ', 'огранич', 'ну', positive
'ADV', 'ТОЧНО', 'fictit', 'точно', positive
'S', '@28_PABST', 'предик', '@28_pabst', positive
'NID', 'ТИПО', 'аппоз', 'типо', positive
'PR', 'КРОМЕ', 'обст', 'кроме', positive
'S ЕД ЖЕН РОД НЕОД', 'ВОДА', 'предл', 'воды', positive
'V', 'НЕ', 'fictit', '', positive
'S ЕД СРЕД РОД НЕОД', 'ЧТО', '1-компл', 'нечего', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'ЕСТЬ', 'fictit', 'ешь', positive
'S', '@7BILLIONREASONS', 'fictit', '@7billionreasons', positive
'NID', 'АКИНАТОР', 'аппоз', 'акинатор', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ПРЕДПОЛАГАТЬ', 'fictit', 'предполагает', positive
'CONJ', 'ЧТО', '1-компл', 'что', positive
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'подч-союзн', 'ты', positive
'A ЕД ЖЕН ИМ', 'МОЙ', 'опред', 'моя', positive
'S ЕД ЖЕН ИМ ОД', 'НЕВЕСТА', 'предик', 'невеста', positive
'NID', 'D', 'аппоз', 'D', positive
'S', '@AEONCHOKOPIE', 'аппоз', '@aeonchokopie', positive
'S ЕД МУЖ ИМ ОД', 'УРОД', 'предик', 'УРОД', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'Я', positive
'PR', 'НА', 'разъяснит', 'на', positive
'S ЕД ЖЕН ПР НЕОД', 'РАБОТА', 'предл', 'работе', positive
'CONJ', 'И', 'сочин', 'и', positive
'S ЕД МУЖ ИМ НЕОД', 'МОНИТОР', 'соч-союзн', 'монитор', positive
'A ЕД МУЖ ИМ', 'СВОЙ', 'опред', 'свой', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'МОЧЬ', 'разъяснит', 'могу', positive
'V СОВ ИНФ', 'ВИДЕТЬ', '1-компл', 'увидеть', positive
'PART', 'НЕ', 'огранич', 'не', positive
'PART', 'ТОЛЬКО', 'огранич', 'только', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'разъяснит', 'я', positive
'ADV', 'ИНОГДА', 'обст', 'иногда', positive
'NID', 'D', 'предик', 'D', positive
'S', '@AEONCHOKOPIE', 'аппоз', '@aeonchokopie', positive
'A КР ЕД СРЕД', 'ХОРОШИЙ', '1-компл', 'хорошо', positive
'S ЕД СРЕД ВИН НЕОД', 'ЧТО', '1-компл', 'что', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ЗНАТЬ', 'разъяснит', 'знаю', positive
'S ЕД МУЖ РОД ОД', 'ТЫ', 'предик', 'тебя', positive
'ADV СРАВ', 'МАЛО', 'разъяснит', 'меньше', positive
'NID', 'D', '1-компл', 'D', positive
'S', '@AFRADKINA', 'аппоз', '@AFradkina', positive
'S ЕД МУЖ ИМ НЕОД', 'ПРИВЕТ', 'разъяснит', 'привет', positive
'CONJ', 'А', 'сочин', 'а', positive
'ADV', 'КАК', 'обст', 'как', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'НАЗЫВАТЬСЯ', 'разъяснит', 'называется', positive
'A ЕД СРЕД ИМ', 'ЭТОТ', 'опред', 'это', positive
'A ЕД СРЕД ИМ', 'ДИКИЙ', 'опред', 'дикое', positive
'S ЕД СРЕД ИМ НЕОД', 'ПРИЛОЖЕНИЕ', '1-компл', 'приложение', positive
'S', '@AGATA2426', '', '@Agata2426', positive
'A ЕД ЖЕН ИМ', 'ДОРОГОЙ', 'fictit', 'дорогая', positive
'S ЕД МУЖ ИМ НЕОД', 'ПРИВЕТ', 'fictit', 'привет', positive
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'предик', 'ты', positive
'S ЕД МУЖ ИМ НЕОД', 'ТУТ', 'сочин', 'тут', positive
'S', '@ALEXSEM4', 'fictit', '@AlexSem4', positive
'S', '@KIRIAN4EG', 'аппоз', '@Kirian4eg', positive
'A МН РОД', 'КАКОЙ', 'атриб', 'каких', positive
'S МН СРЕД ПР НЕОД', 'ЯБЛОКО', '', 'яблоках', positive
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'предик', 'ты', positive
'PR', 'О', 'обст', 'о', positive
'S ЕД СРЕД ПР НЕОД', 'ЧТО', 'предл', 'чем', positive
'S', 'P.S', 'разъяснит', 'P.S', positive
'S ЕД МУЖ ДАТ ОД', 'Я', 'неакт-компл', 'мне', positive
'NID', 'ЗАПАДЛО', 'аппоз', 'западло', positive
'PR', 'НА', 'обст', 'на', positive
'S ЕД МУЖ ПР НЕОД', 'ТЕЛЕФОН', 'предл', 'телефоне', positive
'V НЕСОВ ИНФ', 'ОТКЛЮЧАТЬ', 'предик', 'отключать', positive
'S ЕД СРЕД ВИН НЕОД', 'ВЫКЛЮЧЕНИЕ', '1-компл', 'выключение', positive
'NID', 'ДИСПЛЕЯ', 'аппоз', 'дисплея', positive
'S ЕД МУЖ ДАТ ОД', 'Я', 'дат-сент', 'мне', positive
'S ЕД СРЕД ВИН НЕОД', 'ЭТО', 'сочин', 'это', positive
'A КР ЕД СРЕД', 'НУЖНЫЙ', 'сент-соч', 'нужно', positive
'PART', 'ТОЛЬКО', 'огранич', 'только', positive
'PR', 'В', 'обст', 'в', positive
'NID', 'INGRESS', 'предл', 'Ingress', positive
'S', '@ALEXSEM4', 'fictit', '@AlexSem4', positive
'V НЕСОВ ИНФ', 'СМОТРЕТЬ', 'fictit', 'смотреть', positive
'S МН МУЖ ВИН НЕОД', 'ТРЕК', '1-компл', 'треки', positive
'A МН ВИН НЕОД', 'СВОЙ', 'опред', 'свои', positive
'A МН ВИН НЕОД', 'ЧУЖОЙ', 'сочин', 'чужие', positive
'V НЕСОВ ИНФ', 'НАЗНАЧАТЬ', 'fictit', 'назначать', positive
'NID', 'ЗОНЫ', '1-компл', 'зоны', positive
'S ЕД ЖЕН РОД НЕОД', 'СИГНАЛИЗАЦИЯ', 'атриб', 'сигнализации', positive
'ADV', 'КОГДА', 'обст', 'когда', positive
'S ЕД МУЖ ИМ ОД', 'КТО', 'примыкат', 'кто', positive
'CONJ', 'ЛИБО', 'сочин', 'либо', positive
'PR', 'ИЗ', 'соч-союзн', 'из', positive
'V СОВ СТРАД ПРИЧ ПРОШ ЕД ЖЕН РОД', 'ОБОЗНАЧАТЬ', 'опред', 'обозначенной', positive
'S ЕД ЖЕН РОД НЕОД', 'ЗОНА', 'предл', 'зоны', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ВЫХОДИТЬ', 'fictit', 'выходит', positive
'NID', 'АЛЯРМ', 'предик', 'алярм', positive
'PART', 'И', 'fictit', 'и', positive
'ADV', 'Т.П.', 'fictit', 'т.п.', positive
'S', '@ALEXZZANDRATS', 'fictit', '@alexZZandraTS', positive
'S', '@P_MIKAELSON', 'аппоз', '@p_mikaelson', positive
'PART', 'ТАКИ', 'огранич', 'Таки', positive
'S МН ИМ ОД', 'МЫ', 'предик', 'мы', positive
'V НЕСОВ ИЗЪЯВ ПРОШ МН', 'БЫТЬ', 'вводн', 'были', positive
'PR', 'В', 'присвяз', 'в', positive
'A ЕД МУЖ ПР', 'ЕВРЕЙСКИЙ', 'опред', 'еврейском', positive
'S ЕД МУЖ ПР НЕОД', 'КВАРТАЛ', 'предл', 'квартале', positive
'NID', 'ЩИТО', 'аппоз', 'щито', positive
'PART', 'НЕ', 'огранич', 'не', positive
'ADV', 'ТАК', 'обст', 'так', positive
'NID', 'D', 'fictit', 'D', positive
'S', '@ALEXZZANDRATS', 'аппоз', '@alexZZandraTS', positive
'A КР ЕД СРЕД', 'ПЕЧАЛЬНЫЙ', 'разъяснит', 'Печально', positive
'S', 'D@ALEX_SONG20', 'разъяснит', 'D@Alex_Song20', positive
'NID', 'ДААААААААААААА', 'аппоз', 'дааааааааааааа', positive
'NID', 'D', 'аппоз', 'D', positive
'S', '@ALIKHANUSHKA', 'огранич', '@Alikhanushka', positive
'ADV', 'ТАК', 'огранич', 'так', positive
'A КР ЕД СРЕД', 'ЗДОРОВЫЙ', 'предик', 'здорово', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ПОЗДРАВЛЯТЬ', 'разъяснит', 'поздравляю', positive
'S', '@ALINA97VASILEVA', 'предик', '@Alina97Vasileva', positive
'A ЕД СРЕД ВИН', 'КАКОЙ', 'опред', 'какое', positive
'S ЕД СРЕД ВИН НЕОД', 'МЕСТО', '1-компл', 'место', positive
'S', '@ALINAHEUREUSE', 'fictit', '@alinaheureuse', positive
'PART', 'НЕ', 'fictit', 'не', positive
'V НЕСОВ ПОВ ЕД 2-Л', 'ПЕРЕЖИВАТЬ', 'fictit', 'переживай', positive
'A ЕД ЖЕН ИМ', 'РОДНОЙ', 'опред', 'родная', positive
'NID', 'ГРЕБЕНЮК', 'предик', 'Гребенюк', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 3-Л', 'БЫТЬ', 'сент-соч', 'будут', positive
'ADV', 'СИЛЬНО', 'обст', 'сильно', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'СЕРДИТЬСЯ', 'сент-соч', 'сердится', positive
'S', '@ALINA_LI_KUPER', '', '@Alina_Li_Kuper', positive
'NID', 'ПФФ', 'атриб', 'пфф', positive
'S ЕД МУЖ ИМ ОД', 'МУЗЫКАНТ', 'предик', 'музыкант', positive
'ADV', 'СЛИШКОМ', 'огранич', 'слишком', positive
'A КР ЕД СРЕД', 'ГРОМКИЙ', 'fictit', 'громко', positive
'V СОВ СТРАД ПРИЧ ПРОШ КР ЕД СРЕД', 'СКАЗАТЬ', 'fictit', 'сказано', positive
'NID', 'DЯ', 'атриб', 'Dя', positive
'ADV', 'ТАМ', 'обст', 'там', positive
'PR', 'ПО', 'разъяснит', 'по', positive
'A ЕД МУЖ ДАТ', 'МОЙ', 'предл', 'моему', positive
'PR', 'ПО', 'атриб', 'по', positive
'S ЕД ЖЕН ДАТ НЕОД', 'ОШИБКА', 'предл', 'ошибке', positive
'ADV', 'ВООБЩЕ', 'атриб', 'вообще', positive
'NID', 'D', 'квазиагент', 'D', positive
'S МН ДАТ ОД', 'МЫ', 'неакт-компл', 'нам', positive
'PART', 'БЫ', 'аналит', 'бы', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'УСТРАИВАТЬ', 'разъяснит', 'устроил', positive
'S ЕД МУЖ ИМ ОД', 'КТО', 'предик', 'кто', positive
'NID', 'НИБУДЬ', 'аппоз', 'нибудь', positive
'S', '_', '1-компл', '_', positive
'CONJ', 'И', 'сочин', 'и', positive
